session_id,s3_location,file_match,num_file_matches,asset_type_match,num_asset_type_matches
multiplane-ophys_775682_2025-02-25_09-06-51,s3://aind-open-data/multiplane-ophys_775682_2025-02-25_09-06-51,False,0,False,0
multiplane-ophys_775682_2025-02-27_09-23-36,s3://aind-open-data/multiplane-ophys_775682_2025-02-27_09-23-36,False,0,False,0
multiplane-ophys_775682_2025-02-28_09-26-28,s3://aind-open-data/multiplane-ophys_775682_2025-02-28_09-26-28,False,0,False,0
multiplane-ophys_775682_2025-03-03_09-39-23,s3://aind-open-data/multiplane-ophys_775682_2025-03-03_09-39-23,False,0,False,0
multiplane-ophys_775682_2025-03-04_09-36-26,s3://aind-open-data/multiplane-ophys_775682_2025-03-04_09-36-26,False,0,False,0
multiplane-ophys_775682_2025-03-06_09-18-33,s3://aind-open-data/multiplane-ophys_775682_2025-03-06_09-18-33,False,0,False,0
multiplane-ophys_775682_2025-03-07_09-09-28,s3://aind-open-data/multiplane-ophys_775682_2025-03-07_09-09-28,False,0,False,0
multiplane-ophys_766757_2025-02-17_09-51-19,s3://aind-open-data/multiplane-ophys_766757_2025-02-17_09-51-19,False,0,False,0
multiplane-ophys_766757_2025-02-18_11-52-59,s3://aind-open-data/multiplane-ophys_766757_2025-02-18_11-52-59,False,0,False,0
multiplane-ophys_766757_2025-02-19_14-31-09,s3://aind-open-data/multiplane-ophys_766757_2025-02-19_14-31-09,False,0,False,0
multiplane-ophys_766757_2025-02-21_11-52-07,s3://aind-open-data/multiplane-ophys_766757_2025-02-21_11-52-07,False,0,False,0
multiplane-ophys_749014_2024-11-21_09-23-43,s3://aind-private-data-prod-o5171v/multiplane-ophys_749014_2024-11-21_09-23-43,False,0,False,0
multiplane-ophys_749014_2024-12-05_09-27-15,s3://aind-private-data-prod-o5171v/multiplane-ophys_749014_2024-12-05_09-27-15,False,0,False,0
multiplane-ophys_749014_2024-12-09_09-33-52,s3://aind-private-data-prod-o5171v/multiplane-ophys_749014_2024-12-09_09-33-52,False,0,False,0
multiplane-ophys_749014_2024-12-11_09-57-41,s3://aind-private-data-prod-o5171v/multiplane-ophys_749014_2024-12-11_09-57-41,False,0,False,0
multiplane-ophys_749014_2024-12-16_09-20-06,s3://aind-private-data-prod-o5171v/multiplane-ophys_749014_2024-12-16_09-20-06,False,0,False,0
